Date/Time, City, State, Shape, Duration, Summary, Posted
2022-10-09T15:30:00Z, CINCINNATI, OH, Circle, 5-8 seconds, bright small but bright silver/white spherical object zooming across the sky then simply disappearing, 4/9/2023
2022-10-07T19:49:00Z, New Albany, OH, Triangle, 5min, Triangle with red lights, 12/22/2022
2022-10-04T04:12:00Z, Sagamore Hills, OH, Sphere, Over 6 minutes, Saw/recorded light ball/orb in front yard from live security camera, 12/22/2022
2022-10-04T04:12:00Z, Sagamore Hills, OH, Sphere, 6 minutes, Ball of light hovering in front yard, 12/22/2022
2022-09-30T00:30:00Z, "New Miami, Ohio (Hamilton Ohio)", OH, Sphere, Has not disappeared, "There were 2 consistent visible spheres. 1 was lower and glowing and flashing red, the other was white and moving frequently", 10/8/2022
2022-09-24T11:16:00Z, Warren, OH, Egg, 12 minutes, "A bean shaped flying object roaming in one straight line then moving erratically, it followed a known aircraft", 10/8/2022
2022-09-23T21:20:00Z, Moraine, OH, Disk, 1 minute, "A bright object appeared in the sky, something dropped from it and started falling towards earth . The object then disappeared while.", 10/8/2022
2022-09-15T21:49:00Z, Marysville, OH, Light, 16 seconds, "Bright ""white sparking"" lights really high in night sky.", 10/8/2022
2022-09-15T03:00:00Z, Greenville, OH, Oval, 5 seconds, "Two portals open up in sky real low. Oval white capsule came out and enter second potral, all with no sound", 3/6/2023
2022-09-10T19:30:00Z, WESTLAKE, OH, Light, 1-2 s, Fast large lights in night sky, 10/8/2022
2022-09-05T22:30:00Z, Middletown, OH, Light, "30 seconds, maybe less", "Incredibly bright flash, small sphere of light in distant sky streaks off", 10/8/2022
2022-09-01T21:09:00Z, Wheelersburg, OH, Disk, 1 minute, So we were walking to our house and we saw a UFO and it was VERY big!, 9/9/2022
2022-08-31T22:11:00Z, Vandalia, OH, Star, 15 mins, Looked like a regular star in the sky, 10/8/2022
2022-08-28T09:32:00Z, Toledo, OH, Cigar, 2-4 minutes, Solid black no wings or tail fin. Seen while flying from Philadelphia to Las Vegas I have a 12 second video, 12/22/2022
2022-08-27T21:00:00Z, New Albany, OH, Orb, I was driving on 161, There were about 8 glowing orangish yellow spheres and another two off to the right., 9/9/2022
2022-08-25T23:30:00Z, Byesville, OH, Changing, Been every night since sa, Bright light first time speeding extremely fast watched it stop and go down that light was bright white, 12/22/2022
2022-08-24T21:20:00Z, Wilmington, OH, Triangle, 20 seconds, "Three amber lights spinning slowly, made a full rotation then individually turned off", 9/9/2022
2022-08-24T20:40:00Z, Wilmington, OH, Unknown, A couple minutes, Amber looking lights almost triangular or oval. There was at first what I thought was 2 but it after zooming more like 5, 9/9/2022
2022-08-24T15:30:00Z, Gallipolis, OH, Egg, 5 min, "It was gold in color, stationary over the runway, then it shot off like a bullet to the North.", 5/19/2023
2022-08-24T15:16:00Z, Columbus, OH, Orb, 30 Minutes, ORB / UFO floating over our house for a half hour..., 9/9/2022
2022-08-23T21:46:00Z, Circleville, OH, Circle, 20 Minutes, 3 lights signal each other, 9/9/2022
2022-08-23T21:00:00Z, Chillicothe, OH, Light, Less than a minute, "Three very bright lights appeared suddenly, silently and hovered", 9/9/2022
2022-08-20T21:10:00Z, Cincinnati, OH, Light, 5 minutes, "My wife and 3 out of 4 of my children witnessed the sighting, the youngest are twins age 10.", 9/9/2022
2022-08-18T19:30:00Z, Leavittsburg, OH, Oval, 50 minutes, I could see a translucent oval shape in the clouds., 9/9/2022
2022-08-15T13:25:00Z, West Chester, OH, Cross, 10 seconds, "Saw large white cross-shaped craft drifting north. Elevation near clouds. After viewing for a few seconds, the object vanished.", 9/9/2022
2022-08-13T21:20:00Z, Doylestown, OH, Unknown, , Circling lights, 9/9/2022
2022-08-13T01:30:00Z, Cleveland, OH, , 2 hours, Tone in the air., 9/9/2022
2022-08-08T23:45:00Z, Cincinnati, OH, Formation, 5 seconds, "Almost midnight, two dark unlit objects, maybe boomerang shaped, flying close formation, glided by swiftly and silently", 9/9/2022
2022-08-07T03:30:00Z, Lebanon, OH, Unknown, 3 minutes, "A vertically orientied and tight collection of dozens and dozens of random, blinking lights.", 9/9/2022
2022-08-07T00:04:00Z, GROVE CITY, OH, Orb, approximately 7 minutes, "Sky brightened by large orange sphere that looked like the sun shortly after midnight, slowly dimmed and then descended below tree line", 10/8/2022
2022-08-04T23:25:00Z, Gahanna, OH, Triangle, About 20-40 seconda, Saw what appeared to be a triangle shaped craft with 5 lights coming from it. Appeared like headlights, 9/9/2022
2022-07-31T21:59:00Z, West Lafayette, OH, Light, 4 minutes, Bright circle light moving through sky., 9/9/2022
2022-07-26T21:31:00Z, Chagrin Falls, OH, Oval, 2-3 minutes, "Large oval shape object with black dot in the middle, varying in intensity with two additional orbs rotating around the main one.", 9/9/2022
2022-07-25T22:00:00Z, Sandusky, OH, Cigar, 20 minutes, Observed the first craft on my way back to my room and then observed two more craft before running outside to call parents and record., 9/9/2022
2022-07-22T22:25:00Z, Dublin, OH, Cigar, 2-3 minutes, "Saw an object moving straight down slowly, as we were watching it, several lights lit up consecutively and then it disappeared.", 9/9/2022
2022-07-21T21:46:00Z, Dayton, OH, Circle, 40 Seconds, The UFO was seen low to the ground at high speeds., 9/9/2022
2022-07-15T22:00:00Z, COLUMBUS, OH, Light, About 20 to 40 minutes, "Light at long distance that rose vertically, dropped about 10 degrees and then remained stationary and pulsed about once per second.", 9/9/2022
2022-07-15T14:20:00Z, Columbus, OH, Other, Few minutes, Craft was in the shape of a ring. My son called it Sonic’s ring., 9/9/2022
2022-07-12T20:08:00Z, Sebring, OH, Unknown, Odd object moving through, Quiet revolutionary object unbelievably foreign to the sight., 9/9/2022
2022-07-10T00:10:00Z, Franklin, OH, Orb, About 1 minute and 15 sec, "It was a glowing red orb with a tail, then it stopped and was a fuzzy red ball. There were no other colors.", 9/9/2022
2022-07-07T20:30:00Z, Huron, OH, Disk, 15 m. multiple witnesses, I saw the object hovering untill I began travelling northbound the object slowly and silently drifted north northeast out of sight., 9/9/2022
2022-07-03T20:57:00Z, Tipp City, OH, Egg, 30 seconds, I saw a egg shaped flying object transmitting 2 white lights, 9/9/2022
2022-07-01T21:50:00Z, Lancaster, OH, Light, 1-2 Minutes, Slowly pulsing green light with white light underneath., 9/9/2022
2022-06-30T09:35:00Z, Mansfield, OH, Cylinder, 10 seconds, The bright silver object was moving West to East, 9/9/2022
2022-06-24T22:33:00Z, Strongsville, OH, Cylinder, One minute, Craft made hairpin U turn, 9/9/2022
2022-06-23T19:00:00Z, Cincinnati, OH, Circle, 8 min, 6 different circles switching positions in the air, 9/9/2022
2022-06-23T02:00:00Z, Lancaster, OH, Cross, Mid June 2 nights in a ro, I saw a craft go fast in one direction and turned and went another direction and disappeared two nights in a row., 9/9/2022
2022-06-19T02:20:00Z, Senecaville, OH, Unknown, 5 minutes, We saw a ring of light in the sky coming from an object far away, 6/22/2022
2022-06-16T17:42:00Z, Lore City, OH, Disk, 1 second, filming the lightning during the Tstorm we were having. Later I reviewed the video and at about 4 sec I noticed something cross frames, 6/22/2022
2022-06-06T14:30:00Z, Chillicothe, OH, Disk, I’m not exactly sure, All I remember is what I assume the end of the abduction was., 3/6/2023
2022-06-04T10:42:00Z, ashtabula, OH, Orb, 45 minutes, "Faint glowing light, orb like but more cloudy appearance", 6/22/2022
2022-06-03T23:30:00Z, Eastlake, OH, Triangle, A few hours, I saw three lights making up a triangle. I took a photo then switched to night vision and the shape was then illuminated, 6/22/2022
2022-05-31T22:00:00Z, Medina, OH, Star, approx 1 minute, looked like A very very bright Venus in the northern sky, 6/22/2022
2022-05-29T23:15:00Z, Cincinnati, OH, Other, 20 seconds, To me it look like a flying wing nut, 6/22/2022
2022-05-25T22:00:00Z, Southington, OH, Disk, Caught on night camera, CAught on night camera And it shows a disk with lights and in one photo shows rays of light coming downward almost like rays from the s, 6/22/2022
2022-05-20T20:17:00Z, Vanlue, OH, , 20 to 25 seconds, Have a picture I would like to send, 6/22/2022
2022-05-14T16:10:00Z, Mentor, OH, Rectangle, 4 minutes, Rectangle over the lake, 6/22/2022
2022-05-08T05:15:00Z, LAKEWOOD, OH, Circle, Longer than an hour, Seen 2 objects circular with lights Lakewood ohio, 5/31/2022
2022-04-26T21:38:00Z, Lewisburg, OH, Sphere, 1 minute, I was driving and I saw three sphere like objects moving in strange patterns I'm the sky., 5/31/2022
2022-04-24T22:20:00Z, Wooster, OH, Formation, About an hour, "Three small starlike objects in a perfect triangle, each one higher than the other and moving strangely - definitely not satellite", 5/31/2022
2022-04-23T22:00:00Z, Streetsboro, OH, Triangle, 10 to 15 seconds, I saw a large white triangular craft in orbit moving north to south, 5/31/2022
2022-04-22T11:00:00Z, Mansfield, OH, Cigar, 15 min, It was at least a mile long .all lite up ., 4/22/2022
2022-04-21T21:56:00Z, Akron, OH, Cigar, Approx 30 -45 seconds, What at first appeared to be a weird cloud moving east turned cigarshaped with lights on side then disappe, 4/22/2022
2022-04-21T21:50:00Z, Painesville, OH, Other, 2-3 mins. that we saw, Straight line of lights in formation, 4/22/2022
2022-04-21T21:50:00Z, Parma, OH, , 3 minutes approximately, "10-12 evenly spaced lights appearing in northwest sky travelling southeast, fading out one light at a time. ((Starlink satellites??))", 4/22/2022
2022-04-21T21:15:00Z, Madeira, OH, Light, About one minute, In my back yard I was when I seen this enormous light, 5/31/2022
2022-04-17T23:52:00Z, Cleveland, OH, Rectangle, 5 to 10 minutes, "Long organic like a train, cigar, serpent 2 football fields long.", 9/9/2022
2022-04-14T22:42:00Z, Avon, OH, Light, about 40 seconds, "Two sequential bright, motionless, silent lights", 4/22/2022
2022-04-12T12:15:00Z, Lebanon, OH, Rectangle, 3 minutes, Gray rectangle in the sky with small whitish square on the bottom center, 4/22/2022
2022-04-11T15:25:00Z, Cincinnati, OH, Disk, 3 seconds max, "Slowed down, stopped for maybe a second or two, then sped up and ""disappeared""", 4/22/2022
2022-04-08T21:03:00Z, Powell, OH, Disk, Several minutes, Saw what we thought was an airplane off in the distance., 4/22/2022
2022-04-07T19:05:00Z, Stow, OH, Unknown, Unknown saw in pictures, Saw something in one of two pictures I took seconds apart, 4/22/2022
2022-03-24T23:19:00Z, Plain City, OH, , 20 min ago, Saw dots flying through sky, 4/22/2022
2022-03-17T21:15:00Z, Kettering, OH, Triangle, About 5 to 10 mins then 5, Hovering craft comes out of nowhere then flies over., 4/22/2022
